,major_name,major_description,cip_family,department,in_state_min_tuition,in_state_max_tuition,out_of_state_min_tuition,out_of_state_max_tuition,grad_in_state_min_tuition,grad_in_state_max_tuition,grad_out_of_state_min_tuition,grad_out_of_state_max_tuition,fees
326,Percussion Instruments.,"A program that prepares individuals to master percussion instruments and performing art for a variety of musical settings, including orchestral, solo, chamber, commercial, or nontraditional. Includes instruction in playing and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
278,Ballet.,"A program that prepares individuals to express ideals and feelings through interpretation of classical dance choreography.  Includes instruction in ballet exercise, solo and ensemble dance, history of ballet, ballet choreography, Laban notation, ballet technique, and interpretations of specific styles and schools.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
277,Dance.,Instructional content for this group of programs is defined in codes 50.0301 - 50.0399.,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
316,Conducting.,"A program that prepares individuals to master the art of leading bands, choirs, orchestras and other ensembles in performance, and related music leadership.  Includes instruction in score analysis and arranging, rehearsal and performance leadership, music coaching, arrangement and performance planning, ensemble operations management, and applications to specific school or professional ensembles.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
323,Music Technology.,"A program that focuses on the creative aspects of the blending of music and technology; and that prepares individuals to apply technical knowledge and skills to the composition, recording, synthesis, and performance of music; audio-visual production; scoring for film and multimedia; and software and multimedia development. Includes instruction in music theory, music history, composition, acoustics, recording technology, computer composition, electronic music synthesis, technology-based performance, 3D sound and spatial audio, and music business and law.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
308,Sculpture.,"A program that prepares individuals creatively and technically to express emotions, ideas, or inner visions by creating three-dimensional art works.  Includes instruction in the analysis of form in space; round and relief concepts; sculptural composition; modern and experimental methods; different media such as clay, plaster, wood, stone, and metal; techniques such as carving, molding, welding, casting, and modeling; and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
322,Music Pedagogy.,"A program that prepares individuals to provide musical instruction and tutoring to clients in private and institutional settings.  Includes instruction in music theory, music composition, mastery of one or more instruments, familiarity with various musical genres and styles, principles of music education, and client communications.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
321,Stringed Instruments.,"A program that prepares individual to master a stringed instrument and performing arts as solo, ensemble and/or accompanist performers.  Includes instruction in playing and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
307,Painting.,"A program that prepares individuals creatively and technically to express emotions, ideas, or inner visions by the application of paints and related chemical color substances to canvases or other materials.  Includes instruction in color and color mixing, surface preparation, composition, oil and acrylic media, watercolor media, painting techniques, and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
292,Acting.,"A program that prepares individuals to communicate dramatic information, ideas, moods, and feelings through the achievement of naturalistic and believable behavior in imaginary circumstances.  Includes instruction in voice and acting speech, stage dialects, movement, improvisation, acting styles, theatre history, script interpretation, and actor coaching.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
295,Musical Theatre.,"A program that focuses on the principles and techniques for integrating theatre, music, and dance into a unified production. Includes instruction in acting, dance, voice, technical theater, musical genres, piano, and history of musical theater.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
320,Jazz/Jazz Studies.,"A program that prepares individuals to study and master the performance and composition of Jazz.  Includes instruction in the history of Jazz and related musical styles such as the Blues, Jazz composition and theory, improvisation, Jazz instrument and ensemble performance, and related topics.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
306,Intermedia/Multimedia.,"A program that prepares individuals creatively and technically to express emotions, ideas, or inner visions in either two or three dimensions, through simultaneous use of a variety of materials and media.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
331,Accounting and Business/Management.,An integrated or combined program in accounting and business administration/management that prepares individuals to function as accountants and business managers.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
334,Accounting.,"A program that prepares individuals to practice the profession of accounting and to perform related business functions.  Includes instruction in accounting principles and theory, financial accounting, managerial accounting, cost accounting, budget control, tax accounting, legal aspects of accounting, auditing, reporting procedures, statement analysis, planning and consulting, business information systems, accounting research methods, professional standards and ethics, and applications to specific for-profit, public, and non-profit organizations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
332,Accounting and Finance.,An integrated or combined program in accounting and finance that prepares individuals to function as accountants and financial managers or analysts.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
333,Accounting and Related Services.,Instructional content for this group of programs is defined in codes 52.0301 - 52.0399.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
341,"Business Administration, Management and Operations.",Instructional content for this group of programs is defined in codes 52.0201 - 52.0299.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
339,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","Instructional programs that prepare individuals to perform managerial, technical support, and applied research functions related to the operation of commercial and non-profit enterprises and the buying and selling of goods and services.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
330,Accounting Technology/Technician and Bookkeeping.,"A program that prepares individuals to provide technical administrative support to professional accountants and other financial management personnel.  Includes instruction in posting transactions to accounts, record-keeping systems, accounting software operation, and general accounting principles and practices.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
372,International Business.,Instructional content is defined in code 52.1101.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
354,Entrepreneurial and Small Business Operations.,Instructional content for this group of programs is defined in codes 52.0701 - 52.0799.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
342,Business Operations Support and Assistant Services.,Instructional content for this group of programs is defined in codes 52.0401 - 52.0499.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
343,Business Statistics.,"A program that focuses on the application of mathematical statistics to the description, analysis, and forecasting of business data.  Includes instruction in statistical theory and methods, computer applications, data analysis and display, long- and short-term forecasting methods, and market performance analysis.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
344,Business and Personal/Financial Services Marketing Operations.,"A program that prepares individuals to perform marketing and operational tasks associated with the provision of personal and financial services.  Includes instruction in banking, marketing research, advertising, promotional campaign organization, insurance, media relations, and applicable technical and administrative skills.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
390,Operations Management and Supervision.,"A program that prepares individuals to manage and direct the physical and/or technical functions of a firm or organization, particularly those relating to development, production, and manufacturing.  Includes instruction in principles of general management, manufacturing and production systems, plant management, equipment maintenance management, production control, industrial labor relations and skilled trades supervision, strategic manufacturing policy, systems analysis, productivity analysis and cost control, and materials planning.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
389,Office Management and Supervision.,"A program that prepares individuals to supervise and manage the operations and personnel of business offices and management-level divisions.  Includes instruction in employee supervision, management, and labor relations; budgeting; scheduling and coordination; office systems operation and maintenance; office records management, organization, and security; office facilities design and space management; preparation and evaluation of business management data; and public relations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
359,Finance and Financial Management Services.,Instructional content for this group of programs is defined in codes 52.0801 - 52.0899.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
399,Research and Development Management.,"A program that prepares individuals to manage projects, programs and organizations involving basic and applied research, or specialized technology applications, in the public or private sectors.  Includes instruction in all aspects of business management applied to the leadership and control of scientific, clinical, engineering and social scientific enterprises; the management of related operational, security and logistical issues; and technical competence in one or more research disciplines.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
346,Business/Managerial Economics.,Instructional content is defined in code 52.0601.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
345,Business/Corporate Communications.,Instructional content is defined in code 52.0501.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
369,Human Resources Management and Services.,Instructional content for this group of programs is defined in codes 52.1001 - 52.1099.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
373,International Business/Trade/Commerce.,"A program that prepares individuals to manage international businesses and/or business operations.  Includes instruction in the principles and processes of export sales, trade controls, foreign operations and related problems, monetary issues, international business policy, and applications to doing business in specific countries and markets.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
381,Management Information Systems and Services.,Instructional content for this group of programs is defined in codes 52.1201 - 52.1299.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
366,"Hotel, Motel, and Restaurant Management.","An instructional program that prepares individuals to manage operations and facilities that provide food and/or lodging services to the traveling public. Includes instruction in hospitality industry principles; supplies purchasing, storage, and control; hotel and restaurant facilities design and planning; hospitality industry law; personnel management and labor relations; financial management; facilities management; marketing and sale promotion strategies; convention and event management; front desk operations; and applications to specific types of hotel, motel, and/or restaurant operations. Note: this program was re-instated after being deleted from CIP 2000; previously, it was coded as 52.0902.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
383,Management Sciences and Quantitative Methods.,Instructional content for this group of programs is defined in codes 52.1301 - 52.1399.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
382,Management Science.,"A general program that focuses on the application of statistical modeling, data warehousing, data mining, programming, forecasting and operations research techniques to the analysis of problems of business organization and performance. Includes instruction in optimization theory and mathematical techniques, data mining, data warehousing, stochastic and dynamic modeling, operations analysis, and the design and testing of prototype systems and evaluation models.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
402,Retail Management.,"A program that prepares individuals to manage the operations of a wide variety of retail businesses, including department stores; independent and chain stores; fashion, food and beverage, and pharmaceutical establishments; and online retail businesses. Includes instruction in retail management, merchandise management, customer service management, marketing, organizational behavior, accounting, finance, business law, and personnel management.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
393,"Parts, Warehousing, and Inventory Management Operations.","A program that prepares individuals to provide administrative, technical, and managerial support in the operation of warehouses, control of inventory, parts identification, and the performance of counter services for customers.  Includes instruction in record-keeping, equipment operation, database entry, supply logistics, shop operations and math, and customer and supplier relations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
377,Knowledge Management.,"A program that focuses on the study of knowledge management in government agencies and corporations for the purpose of supporting stated organizational goals and objectives, and prepares individuals to function as information resource managers.  Includes instruction in information technology, principles of computer and information systems, management information systems, applicable policy and regulations, and operations and personnel management.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
348,Casino Management.,"A program that prepares individuals to manage casinos and gaming establishments. Includes instruction in casino operations, casino security and surveillance, principles of the gaming industry, ethics, and gaming law.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
349,Construction Management.,Instructional content is defined in code 52.2001.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
394,Project Management.,"A program that prepares individuals to apply quantitative and qualitative knowledge, skills, tools, and techniques to manage projects in a wide range of fields and occupations.  Includes instruction in project planning, risk management, cost and time management, contracts and procurement, accounting, statistics, decision making, and human resources.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
400,Resort Management.,"A program that prepares individuals to plan, manage, and market comprehensive vacation facilities and services and related products.  Includes instruction in hospitality administration, hotel/motel management, restaurant and food services management, facilities planning, leisure studies, recreation administration, marketing, recreation equipment and grounds operations and maintenance, business finance, insurance and taxation, event management and guest services, personnel management, travel and logistics management, safety and health services, professional standards and ethics, and applications to specific vacation types and locations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
350,Credit Management.,"A program that prepares individuals to perform and/or manage operations concerning personal and corporate credit, collateral, loan processing, and related financial agency communications.  Includes instruction in general finance and banking principles, insurance, real estate, taxation, business law and regulations, quantitative methods, financial computer systems applications, database management, communications skills, business and office management, and professional standards and ethics.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
347,Business/Office Automation/Technology/Data Entry.,"A program that prepares individuals to support business information operations by using computer equipment to enter, process, and retrieve data for a wide variety of administrative purposes.  Includes instruction in using basic business software and hardware, business computer networking, principles of desktop publishing, preparing mass mailings, compiling and editing spreadsheets, list maintenance, preparing tables and graphs, receipt control, and preparing business performance reports.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
380,"Logistics, Materials, and Supply Chain Management.","A program that prepares individuals to manage and coordinate all logistical functions in an enterprise, ranging from acquisitions to receiving and handling, through internal allocation of resources to operations units, to the handling and delivery of output.  Includes instruction in acquisitions and purchasing, inventory control, storage and handling, just-in-time manufacturing, logistics planning, shipping and delivery management, transportation, quality control, resource estimation and allocation, and budgeting.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
396,"Purchasing, Procurement/Acquisitions and Contracts Management.","A program that prepares individuals to manage and/or administer the processes by which a firm or organization contracts for goods and services to support its operations, as well as contracts it to sell to other firms or organizations.  Includes instruction in contract law, negotiations, buying procedures, government contracting, cost and price analysis, vendor relations, contract administration, auditing and inspection, relations with other firm departments, and applications to special areas such as high-technology systems, international purchasing, and construction.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
364,Hospitality Administration/Management.,Instructional content for this group of programs is defined in codes 52.0901 - 52.0999.,52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
370,Information Resources Management.,"A program that prepares individuals to apply principles of information technology, computer systems management, and business operations to the planning, management, and evaluation of information services in organizations.  Includes instruction in telecommunications, systems planning and integration, information policy, information security, contracting and purchasing, budgeting, information technology, operations management, human resources, communications skills, and applicable law and regulations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
351,Customer Service Management.,"A program that prepares individuals to supervise and monitor customer service performance and manage frontline customer support services, call centers/help desks, and customer relations.  Includes instruction in customer behavior, specialized information technology and systems management, developing and using customer service databases, user surveys and other feedback mechanisms, strategic and performance planning and analysis, operations management, personnel supervision, and communications and marketing skills.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
401,Restaurant/Food Services Management.,"A program that prepares individuals to plan, manage, and market restaurants, food services in hospitality establishments, food service chains and franchise networks, and restaurant supply operations.  Includes instruction in hospitality administration, food services management, wholesale logistics and distribution, franchise operations, business networking, personnel management, culinary arts, business planning and capitalization, food industry operations, marketing and retailing, business law and regulations, finance, and professional standards and ethics.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
367,Hotel/Motel Administration/Management.,"A program that prepares individuals to manage operations and facilities that provide lodging services to the traveling public. Includes instruction in hospitality industry principles; supplies purchasing, storage and control; hotel facilities design and planning; hospitality industry law; personnel management and labor relations; financial management; marketing and sales promotion; convention and event management; front desk operations; and applications to specific types of hotels and motel operations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
360,Financial Planning and Services.,"A program that prepares individuals to plan and manage the financial interests and growth of individuals and institutions.  Includes instruction in portfolio management, investment management, estate planning, insurance, tax planning, strategic investing and planning, financial consulting services, and client relations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
376,Investments and Securities.,"A program that prepares individuals to manage assets placed in capital markets, and related technical operations.  Includes instruction in security analysis, debt and equity analysis, investment strategies, securities markets, computer-assisted research, portfolio management, portfolio performance analysis, and applications to specific investment problems and business situations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
387,Merchandising and Buying Operations.,"A program that prepares individuals to function as professional buyers of resale products and product lines for stores, chains, and other retail enterprises.  Includes instruction in product evaluation, merchandising, applicable aspects of brand and consumer research, principles of purchasing, and negotiation skills.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
403,Retailing and Retail Operations.,"A program that prepares individuals to perform operations associated with retail sales in a variety of settings.  Includes instruction in over-the-counter and other direct sales operations in business settings, basic bookkeeping principles, customer service, team/staff leadership and supervision, floor management, and applicable technical skills.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
361,Franchising and Franchise Operations.,"A program that prepares individuals to manage and operate franchises.  Includes instruction in legal requirements, set-up costs and capitalization requirements, financing, and applications to specific franchise opportunities.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
388,Non-Profit/Public/Organizational Management.,"A program that prepares individuals to manage the business affairs of non-profit corporations, including foundations, educational institutions, associations, and other such organizations, and public agencies and governmental operations.  Includes instruction in business management, principles of public administration, principles of accounting and financial management, human resources management, taxation of non-profit organizations, and business law as applied to non-profit organizations.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
365,Hospitality and Recreation Marketing Operations.,"A program that prepares individuals to provide marketing services in the hospitality and leisure fields. Includes instruction in hospitality operations, customer sales and assistance operations and techniques, telephone operations, basic office management, retail sports, recreation equipment, food and beverage.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
340,Banking and Financial Support Services.,"A program that prepares individuals to perform a wide variety of customer services in banks, insurance agencies, savings and loan companies, and related enterprises.  Includes instruction in communications and public relations skills, business equipment operation, and technical skills applicable to the methods and operations of specific financial or insurance services.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
336,Apparel and Accessories Marketing Operations.,"A program that prepares individuals to perform operations connected with the distribution and sale of apparel and accessories. Includes instruction in wholesaling and retailing, apparel technologies, distribution, customer sales and service skills, and principles of consumer research and sales forecasting.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
386,Meeting and Event Planning.,"A program that prepares individuals to plan, budget, and implement conferences, meetings, and other special events in the public or private sectors. Includes instruction in principles of meeting and event planning; special event management; budgets and finance; site selection; contracts, vendors, and negotiations; marketing and promotions; food and beverage management; audio-visual basics and meeting technology; and hospitality law.",52,Business and Economics,5000,15000,15000,30000,6000,20000,18000,35000,1000
70,Communication and Media Studies.,Instructional content for this group of programs is defined in codes 09.0100 - 09.0199.,9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
72,Mass Communication/Media Studies.,"A program that focuses on the analysis and criticism of media institutions and media texts, how people experience and understand media content, and the roles of media in producing and transforming culture.  Includes instruction in communications regulation, law, and policy; media history; media aesthetics, interpretation, and criticism; the social and cultural effects of mass media; cultural studies; the economics of media industries; visual and media literacy; and the psychology and behavioral aspects of media messages, interpretation, and utilization.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
78,Digital Communication and Media/Multimedia.,"A program that focuses on the development, use, critical evaluation, and regulation of new electronic communication technologies using computer applications; and that prepares individuals to function as developers and managers of digital communications media. Includes instruction in computer and telecommunications technologies and processes; design and development of digital communications; marketing and distribution; digital communications regulation, law, and policy; the study of human interaction with, and use of, digital media; and emerging trends and issues.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
86,Technical and Scientific Communication.,"A program that focuses on the communication of technical and scientific knowledge to a variety of audiences through print, video, and digital media; and that prepares individuals to function as technical writers and editors, documentation developers, web designers, and usability specialists. Includes instruction in scientific and technical writing and editing, graphic and information design, web design, audience analysis, document usability and field testing, publications management, and applications to specific technical fields.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
85,International and Intercultural Communication.,"A program that focuses on the specialized knowledge and skills needed for effective communication in the international community and among people of different cultures; and that prepares individuals to function at the national and international levels as journalists, public relations specialists, travel industry representatives, intercultural trainers, and/or foreign service officers.  Includes instruction in journalism, communications, intercultural and international relations, marketing and public relations, and global communications policy.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
71,Speech Communication and Rhetoric.,"A program that focuses on the scientific, humanistic, and critical study of human communication in a variety of formats, media, and contexts.  Includes instruction in the theory and practice of interpersonal, group, organizational, professional, and intercultural communication; speaking and listening; verbal and nonverbal interaction; rhetorical theory and criticism; performance studies; argumentation and persuasion; technologically mediated communication; popular culture; and various contextual applications.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
76,"Radio, Television, and Digital Communication.",Instructional content for this group of programs is defined in codes 09.0701 - 09.0799.,9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
69,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","Instructional programs that focus on how messages in various media are produced, used, and interpreted within and across different contexts, channels, and cultures, and that prepare individuals to apply communication knowledge and skills professionally.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
79,"Public Relations, Advertising, and Applied Communication.",Instructional content for this group of programs is defined in codes 09.0900 - 09.0999.,9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
77,Radio and Television.,"A program that focuses on the theories, methods, and techniques used to plan, produce, and distribute audio and video programs and messages, and that prepares individuals to function as staff, producers, directors, and managers of radio and television shows and media organizations.  Includes instruction in media aesthetics; planning, scheduling, and production; writing and editing; performing and directing; personnel and facilities management; marketing and distribution; media regulations, law, and policy; and principles of broadcast technology.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
82,Political Communication.,"A program that focuses on human and media communication in the political process and that prepares individuals to function as members of political and public affairs organizations, political campaign staffs, and related government and media entities.  Includes instruction in media effects, political speaking and debating, political advertising and marketing, image management, political journalism, opinion polling, and aspects of print and broadcast media related to the production and distribution of media messages in political settings.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
83,Health Communication.,"A program that focuses on how people, individually and collectively, understand and accommodate to health and illness and the role of communication and media in shaping professional health care messages and public acceptance of these messages.  Includes instruction in the development and use of health-related and care-related messages and media; the goals and strategies of health care promotion; relationships, roles, situations, and social structures in the context of health maintenance and promotion; and applications to disease prevention, health advocacy, and communications concerning treatments.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
84,Sports Communication.,"A program that focuses on the methods and techniques for communicating about sports in a variety of formats, media, and contexts; and that prepares individuals to be sports reporters and writers, photojournalists, radio and television announcers, producers and directors, recreational sports promoters, and public relations specialists.  Includes instruction in sports writing, photography, broadcast journalism, sports production, game rules, media and public relations, and sports promotion.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
80,Public Relations/Image Management.,"A program that focuses on the theories and methods for managing the media image of a business, organization, or individual and the communication process with stakeholders, constituencies, audiences, and the general public; and that prepares individuals to function as public relations assistants, technicians, and managers.  Includes instruction in public relations theory; related principles of advertising, marketing, and journalism; message/image design; image management; special event management; media relations; community relations; public affairs; and internal communications.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
81,Advertising.,"A program that focuses on the creation, execution, transmission, and evaluation of commercial messages in various media intended to promote and sell products, services, and brands; and that prepares individuals  to function as advertising assistants, technicians, and managers.  Includes instruction in advertising theory, marketing strategy, advertising design and production methods, campaign methods and techniques, media management, related principles of business management, and applicable technical and equipment skills.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
75,Photojournalism.,"A program that focuses on the use of still and motion photography in journalism and prepares individuals to function as news photographers and photographic editors.  Includes instruction in photography, journalism, studio procedures and techniques, camera and equipment operation and technique, news editing, print and film editing, news scene composition, subject surveillance, media law and policy, news team field operations, and professional standards and ethics.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
74,Broadcast Journalism.,"A program that focuses on the methods and techniques for reporting, producing, and delivering news and news programs via radio, television, and video/film media; and that prepares individuals to be professional broadcast journalists, editors, producers, directors, and managers.  Includes instruction in the principles of broadcast technology; broadcast reporting; on- and off-camera and microphone procedures and techniques; program, sound, and video/film editing; program design and production; media law and policy; and professional standards and ethics.",9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
73,Journalism.,Instructional content for this group of programs is defined in codes 09.0401 - 09.0499.,9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
87,Publishing.,Instructional content is defined in code 09.1001.,9,Communication and Media,5000,15000,15000,30000,6000,20000,18000,35000,1000
132,Special Education and Teaching.,Instructional content for this group of programs is defined in codes 13.1001 - 13.1099.,13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
117,Administration of Special Education.,"A program that prepares individuals to plan, supervise, and manage programs for exceptional students and their parents.  Includes instruction in special education theory and practice, special education program development, evaluation and assessment in special education, state and federal law and regulations, managing individual education plans, problems of low- and high- disability students, mainstreaming, special education curricula, staff management, parent education, communications and community relations, budgeting, and professional standards and ethics.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
148,Education/Teaching of Individuals in Secondary Special Education Programs.,"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the secondary grades. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for secondary grades special education; content, methods, and modifications in specific subject areas; issues in vocational education; and promoting successful transitions to postsecondary settings.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
146,Education/Teaching of Individuals in Elementary Special Education Programs.,"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the elementary grades. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for elementary special education; and teaching elementary education subject matter.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
144,Education/Teaching of Individuals in Early Childhood Special Education Programs.,"A program that focuses on the design and provision of teaching and other educational services to infant and pre-school age children with special learning needs or disabilities, and that prepares individuals to teach such students.  Includes instruction in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counseling, and applicable laws and policies.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
154,Elementary Education and Teaching.,"A program that prepares individuals to teach students in the elementary grades, which may include kindergarten through grade eight, depending on the school system or state regulations.  Includes preparation to teach all elementary education subject matter.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
156,Secondary Education and Teaching.,"A program that prepares individuals to teach students in the secondary grades, which may include grades seven through twelve, depending on the school system or state regulations.  May include preparation to teach a comprehensive curriculum or specific subject matter.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
147,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.,"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in junior high/middle school. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for middle school special education; and principles of middle school instruction in specific subjects.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
153,Adult and Continuing Education and Teaching.,"A program that prepares individuals to teach adult students in various settings, including basic and remedial education programs, continuing education programs, and programs designed to develop or upgrade specific employment-related knowledge and skills.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
160,Early Childhood Education and Teaching.,"A program that prepares individuals to teach students ranging in age from infancy through eight years (grade three), depending on the school system or state regulations.  Includes preparation to teach all relevant subject matter.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
159,Kindergarten/Preschool Education and Teaching.,"A program that prepares individuals to teach students in formal settings prior to beginning regular elementary school, usually ranging in age from three to six years (or grade one), depending on the school system or state regulations.  Includes preparation to teach all relevant subject matter.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
134,Education/Teaching of the Gifted and Talented.,"A program that focuses on the design of educational services for children or adults exhibiting exceptional intellectual, psychomotor or artistic talent or potential, or who exhibit exceptional maturity or social leadership talents, and that may prepare individuals to teach such students.  Includes instruction in identifying gifted and talented students, developing individual education plans, teaching and supervising gifted and talented students, counseling, and applicable laws and policies.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
155,Junior High/Intermediate/Middle School Education and Teaching.,"A program that prepares individuals to teach students in the middle, intermediate or junior high grades, which may include grades four through nine by regulation.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
142,Education/Teaching of Individuals with Autism.,"A program that focuses on the design of educational services for children or adults with autism, and that prepares individuals to teach such students.  Includes instruction in identifying students with autism, developing individual education plans, teaching and supervising autistic students, counseling, and applicable laws and policies.",13,Education,5000,15000,15000,30000,6000,20000,18000,35000,1000
